game_id,created_at,color,result,player_rating,opponent_rating,opponent_name,variant,speed,rated,status,rating_diff
nW2gQOwG,2023-07-15 22:08:10.585,Black,Win,3252,2860.0,Zakaryan_David,standard,bullet,True,resign,392.0
fRKR42Sl,2023-07-15 22:05:48.645,Black,Win,3244,3083.0,AngelitoRT,standard,bullet,True,mate,161.0
g3aR2JzK,2023-07-15 22:04:26.455,Black,Win,3236,3076.0,penguingim1,standard,bullet,True,resign,160.0
p931cYSk,2023-07-15 22:03:33.023,White,Win,3235,2632.0,Keepserene,standard,bullet,True,mate,603.0
XM4Pv57L,2023-07-15 22:01:31.816,Black,Draw,3242,3068.0,mutdpro,standard,bullet,True,draw,174.0
7YG2LQ33,2023-07-15 22:00:07.691,White,Win,3237,2929.0,goltsev2000,standard,bullet,True,mate,308.0
swKMV3RO,2023-07-15 21:57:37.837,Black,Win,3233,2879.0,Ragehunter,standard,bullet,True,outoftime,354.0
Kub6HnIh,2023-07-15 21:55:24.706,White,Loss,3258,3053.0,mutdpro,standard,bullet,True,resign,205.0
QVCTBgmW,2023-07-15 21:53:09.699,Black,Loss,3285,3058.0,penguingim1,standard,bullet,True,resign,227.0
uf1EEtjU,2023-07-15 21:52:09.591,White,Win,3283,2790.0,MR_HW,standard,bullet,True,resign,493.0
BCqatq5s,2023-07-15 21:50:45.871,Black,Win,3276,3032.0,MatthewG-p4p,standard,bullet,True,resign,244.0
KR7r0QNa,2023-07-15 21:49:26.341,White,Win,3271,2955.0,Fandorine96,standard,bullet,True,resign,316.0
iGEjX4kx,2023-07-15 21:47:24.301,Black,Loss,3306,2880.0,Chessisnotfair,standard,bullet,True,resign,426.0
8GhUU5rU,2023-07-15 21:45:43.049,White,Draw,3318,3061.0,Night-King96,standard,bullet,True,draw,257.0
DvQc7hlZ,2023-07-15 21:45:03.728,White,Win,3315,2813.0,GUNNE_USER,standard,bullet,True,resign,502.0
aiGLcMI5,2023-07-15 21:43:22.409,Black,Draw,3331,2957.0,Fandorine96,standard,bullet,True,draw,374.0
ljkgxnAo,2023-07-15 21:41:45.361,White,Loss,3367,3057.0,penguingim1,standard,bullet,True,resign,310.0
7xK0S4MX,2023-07-15 21:39:39.438,Black,Win,3366,2673.0,h1kk1,standard,bullet,True,resign,693.0
IVkm8JER,2023-07-15 21:38:39.604,Black,Win,3359,3058.0,Night-King96,standard,bullet,True,resign,301.0
OcokMVWe,2023-07-15 21:37:35.661,White,Win,3353,3026.0,MatthewG-p4p,standard,bullet,True,resign,327.0
Jd38zKE2,2023-07-15 21:35:47.089,White,Win,3352,2629.0,Boris_Soltis,standard,bullet,True,resign,723.0
zKRMtWJ9,2023-07-15 21:33:30.010,Black,Win,3349,2929.0,greennight,standard,bullet,True,resign,420.0
u6npRitQ,2023-07-15 21:32:09.531,White,Win,3347,2803.0,GUNNE_USER,standard,bullet,True,resign,544.0
XM3dMQOw,2023-07-15 21:30:01.733,Black,Win,3336,3118.0,Zhigalko_Sergei,standard,bullet,True,outoftime,218.0
RaKbMbh7,2023-07-15 21:16:36.698,White,Loss,1500,,Anonymous,standard,correspondence,False,resign,
kx7aGZB0,2023-07-01 21:56:43.270,White,Win,3113,2718.0,Think_Fast_Move_Fast,standard,blitz,True,resign,395.0
kHzZLMXD,2023-07-01 21:53:47.673,Black,Loss,3132,2854.0,Chesstoday,standard,blitz,True,resign,278.0
Zjo5ckAr,2023-07-01 21:51:31.483,White,Win,3125,2959.0,RebeccaHarris,standard,blitz,True,resign,166.0
sQdwJKn5,2023-07-01 21:47:07.009,Black,Win,3124,2577.0,ThiesHeinemann,standard,blitz,True,resign,547.0
Wp6Jsclg,2023-07-01 21:43:54.678,White,Win,3122,2721.0,OhanyanEminChess,standard,blitz,True,resign,401.0
j0WvPVrU,2023-07-01 21:39:38.509,Black,Win,3118,2821.0,chessmaster2006,standard,blitz,True,resign,297.0
p1qjdF9i,2023-07-01 21:36:20.149,Black,Win,3116,2715.0,ChessWeeb,standard,blitz,True,resign,401.0
mnzRRVVN,2023-07-01 21:31:18.610,White,Win,3112,2810.0,hitter1999,standard,blitz,True,mate,302.0
JJrtd8Xw,2023-07-01 21:28:47.636,Black,Win,3109,2724.0,Elda64,standard,blitz,True,resign,385.0
4MvuNRfu,2023-07-01 21:25:25.212,Black,Win,3107,2662.0,Riquelme93,standard,blitz,True,resign,445.0
gAH07ucg,2023-07-01 21:22:08.183,White,Draw,3113,2958.0,RebeccaHarris,standard,blitz,True,draw,155.0
hy0zu5gJ,2023-07-01 21:19:36.769,Black,Win,3112,2524.0,shnitez,standard,blitz,True,resign,588.0
oJjtb9RG,2023-07-01 21:17:07.503,White,Win,3106,2873.0,Chesstoday,standard,blitz,True,resign,233.0
j1avuLFe,2023-07-01 21:13:54.946,White,Win,3104,2666.0,Chessisnotfair,standard,blitz,True,outoftime,438.0
wo3SFGdB,2023-07-01 21:08:42.586,Black,Draw,3113,2837.0,Zhigalko_Sergei,standard,blitz,True,outoftime,276.0
NUnrdHvG,2023-07-01 21:04:55.234,White,Win,3110,2753.0,dr_xStranger,standard,blitz,True,resign,357.0
